,Sl_No,Date,Time_Ny_Now,Tweet_created_at_time_NY,Tweet_created_at_time_IN,ID,Location,Prediction,Tweet
0,1,2021-06-04,03:28:49,03:24:13,12:54:13,1400714996024229888,"Buffalo, Erie County, New York, United States",1,Cleared: Construction on #I190NiagaraThruway SB from After Exit N7 (I-190) - Church St - Skyway (Rte 5) to Before E… https://t.co/Egh9flhc4I
1,2,2021-06-04,03:28:49,02:54:28,12:24:28,1400707507803332608,"Monsey, Town of Ramapo, Rockland County, New York, United States",1,Updated: Construction on #I87NYSThruway NB from Before Exit 14B (I-87) - Airmont Rd to Before Exit 14B (I-87) - Air… https://t.co/hUZm9pyY7K
2,3,2021-06-04,03:28:49,02:54:28,12:24:28,1400707506817703937,"Monsey, Town of Ramapo, Rockland County, New York, United States",1,Updated: Construction on #I87NYSThruway NB from Before Exit 14B (I-87) - Airmont Rd to Before Exit 14B (I-87) - Air… https://t.co/t5T3qUn7xC
3,4,2021-06-04,03:28:49,03:18:22,12:48:22,1400713520828846084,"Brewster, Town of Southeast, Putnam County, New York, United States",1,Cleared: Incident on #I84 WB at Exit 69 (I-84) - Brewster (US6 - US202 - NY121)
4,5,2021-06-04,03:28:49,03:18:21,12:48:21,1400713520006799364,"Brewster, Town of Southeast, Putnam County, New York, United States",1,Cleared: Incident on #I84 WB at Exit 69 (I-84) - Brewster (US6 - US202 - NY121)
5,6,2021-06-04,03:28:49,03:14:43,12:44:43,1400712602221694978,"New York, 1884, 1st Avenue, Midtown East, Manhattan, New York County, New York, 10155, United States",1,Cleared: Incident on #EssexLine at New York Penn Station
6,7,2021-06-04,03:28:49,03:14:42,12:44:42,1400712601257062400,"New York, 1884, 1st Avenue, Midtown East, Manhattan, New York County, New York, 10155, United States",1,Cleared: Incident on #MorrisLine at New York Penn Station
7,8,2021-06-04,03:28:49,03:12:15,12:42:15,1400711982823751680,"Orchard Park, Erie County, New York, 14127, United States",1,Cleared: Incident on #Route20 WB
8,9,2021-06-04,03:28:49,03:12:15,12:42:15,1400711982815363073,"Orchard Park, Erie County, New York, 14127, United States",1,Cleared: Incident on #Route20 WB
9,10,2021-06-04,03:28:49,02:54:27,12:24:27,1400707505718693888,"New York, 1884, 1st Avenue, Midtown East, Manhattan, New York County, New York, 10155, United States",1,Cleared: Incident on #PortJefferson EB from Penn Station to Huntington
10,11,2021-06-04,03:28:49,02:34:33,12:04:33,1400702495786258432,"Brooklyn, Kings County, New York, United States",1,Cleared: Incident on #I278 WB at Atlantic Avenue
